date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:48	95750/95750	---MCZ	200	added ('OK')	text/html	etag:W/%226729a248-17606%22	https://buryevil.neocities.org/	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/index.html	(from )
20:49:48	2314/2314	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22656c26ef-24ed%22	https://buryevil.neocities.org/robots.txt		(from )
20:49:49	1173/1173	---MCZ	200	added ('OK')	text/css	etag:W/%225fbb6d56-495%22	https://buryevil.neocities.org/style.css	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/style.css	(from https://buryevil.neocities.org/)
20:49:49	8372/8372	---M--	200	added ('OK')	application/octet-stream	etag:%22638579bd-20b4%22	https://buryevil.neocities.org/fonts/fourpx.ttf	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/fonts/fourpx.ttf	(from https://buryevil.neocities.org/)
20:49:49	9453/9453	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22656c26ef-24ed%22	https://buryevil.neocities.org/fonts/5z%c3%8c%c2%8c5.ttf	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/fonts/5z%c3%8c%c2%8c5.ttf	(from https://buryevil.neocities.org/)
20:49:49	15414/15414	---M--	200	added ('OK')	image/gif	etag:%226140b341-3c36%22	https://buryevil.neocities.org/Images/background7.gif	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/Images/background7.gif	(from https://buryevil.neocities.org/)
20:49:49	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Aug%202025%2018:49:50%20GMT	https://buryevil.neocities.org/about.html	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/about.html	(from https://buryevil.neocities.org/)
20:49:50	12888/12888	---MCZ	200	added ('OK')	text/html	etag:W/%226590908a-3258%22	https://buryevil.neocities.org/about	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/about.html	(from https://buryevil.neocities.org/)
20:49:50	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Aug%202025%2018:49:50%20GMT	https://buryevil.neocities.org/artwork.html	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/artwork.html	(from https://buryevil.neocities.org/)
20:49:50	20476/20476	---MCZ	200	added ('OK')	text/html	etag:W/%22656c2683-4ffc%22	https://buryevil.neocities.org/artwork	C:/Users/moham/Downloads/Memecoins/framer/https___buryevil.neocities.org_/buryevil.neocities.org/artwork.html	(from https://buryevil.neocities.org/)
